MolWt,LogP,HBD,HBA,TPSA,RotatableBonds,AromaticRings,HeavyAtomCount,NumRings,FractionCSP3,NumHeteroatoms,MolRefractivity,NumValenceElectrons,NumRadicalElectrons,MaxPartialCharge,MinPartialCharge,BalabanJ,BertzCT
488.4010000000002,0.8073999999999997,8,12,210.50999999999996,1,2,35,5,0.2608695652173913,12,116.4554000000001,184,0,0.20733008216496512,-0.5076781683240617,1.846555831610403,1411.8278919683908
373.4060000000002,-0.5327999999999962,5,6,170.26,12,0,26,1,0.75,10,90.49350000000004,148,0,0.3259154957391964,-0.4812294898680049,2.8691500756817816,525.9727606723468
422.9200000000001,4.2668000000000035,2,5,92.50999999999999,8,4,30,4,0.2727272727272727,8,115.9235,154,0,0.1795341349462579,-0.3900210969572443,1.6211679783418804,1105.3755176033308
376.45300000000026,1.6046,2,5,95.94000000000001,9,1,27,2,0.55,7,100.15250000000007,148,0,0.32591549414003096,-0.479712131669052,2.0070366246242646,649.031972845491
438.4910000000002,4.5824000000000025,2,5,109.58,7,5,33,5,0.16,8,124.83900000000004,164,0,0.33517859283022405,-0.4776392486583756,1.5593028515769745,1421.6113622053608
408.54900000000015,5.444000000000006,1,3,42.21,7,4,31,5,0.25925925925925924,4,128.73170000000005,156,0,0.1285207197157975,-0.36799952885379494,1.4480961120065925,1217.713987269693
309.36500000000007,4.266700000000003,1,3,70.32000000000001,5,2,23,2,0.2631578947368421,4,88.62230000000005,118,0,0.3351789637862079,-0.49239862760742575,2.5123978048453974,755.4195723438827
346.33900000000006,2.1756,1,7,107.77000000000001,4,1,25,2,0.29411764705882354,8,88.40510000000003,132,0,0.33597830173148835,-0.46558003067236686,2.803490087611988,771.1110283918142
408.88200000000006,2.266300000000001,2,7,99.88000000000001,8,1,28,2,0.4,8,105.57710000000003,152,0,0.33634453534939074,-0.4655800511614499,2.6736251384965306,803.5407141752966
558.6500000000003,6.313600000000008,4,4,111.79,12,4,41,4,0.2727272727272727,8,157.24659999999975,214,0,0.3054724296571262,-0.48115942835912534,1.8911368586991832,1467.2614722780866
481.5460000000002,2.4017,3,7,140.92,10,2,33,2,0.4090909090909091,11,122.67920000000005,180,0,0.3054726542289242,-0.48115942711561593,2.6114124073994325,1119.6962406474515
406.482,3.738000000000002,3,5,75.74000000000001,10,4,30,4,0.25,6,118.66520000000004,156,0,0.16071263981470665,-0.49287002121803886,1.2465334229139493,1108.7174439193616
174.20299999999995,1.7992,0,2,32.67,1,1,13,2,0.2,3,51.654000000000025,66,0,0.2526193185060954,-0.2721163382406511,2.3262386182068613,356.4473120841761
172.248,1.3457999999999999,1,2,43.37,0,0,12,1,1.0,3,45.924300000000024,71,1,0.05764880113230054,-0.39298176493734205,2.8355218903020596,159.36734879116756
528.6090000000004,3.7826000000000004,4,5,136.96,8,0,39,4,0.3,9,147.75989999999987,202,0,0.3031793499834093,-0.4812219257280195,1.6653178308043846,1490.161830733838
56.065000000000005,-3.2661000000000002,0,1,0.0,0,0,2,0,0.0,2,8.76,8,0,1.0,-0.8126153759337363,0.0,2.0
84.006,-4.1083,1,2,60.36,0,0,5,0,0.0,4,8.0248,24,0,1.0,-0.5651787281645311,0.0,29.87430298092722
144.12599999999998,-0.11140000000000017,0,4,52.60000000000001,2,0,10,0,0.3333333333333333,4,33.172,56,0,0.33022984062525484,-0.4658481919045921,0.0,141.13075145540296
498.7290000000004,6.397900000000008,1,5,63.60000000000001,4,1,35,5,0.7333333333333333,5,139.52179999999993,192,0,0.30317466836096246,-0.4496374744551935,1.4061339059132167,964.3630018318688
554.5540000000002,-7.504800000000011,11,16,309.5799999999999,9,0,38,3,0.9,18,122.589,220,0,0.2367871648413924,-0.38790100882688683,1.6349186387024406,829.3611742938272
